Bag,ztop,Age,Deuterium,Temperature
754.0,414.15,14080.1504,-413.4,-4.48
755.0,414.7,14106.1699,-406.0,-3.27
756.0,415.25,14131.2773,-402.6,-2.71
757.0,415.8,14155.6436,-404.3,-3.0
758.0,416.35,14179.5664,-406.9,-3.43
759.0,416.9,14204.5215,-411.2,-4.14
760.0,417.45,14229.9482,-392.2,-1.02
761.0,418.0,14251.6855,-397.7,-1.93
762.0,418.55,14272.6641,-399.1,-2.16
763.0,419.1,14294.8633,-402.3,-2.69
764.0,419.65,14317.7021,-401.1,-2.5
765.0,420.2,14340.8975,-403.9,-2.96
766.0,420.75,14364.3115,-401.2,-2.52
767.0,421.3,14390.0684,-418.2,-5.32
768.0,421.85,14417.127,-408.8,-3.78
769.0,422.4,14441.9443,-402.3,-2.71
770.0,422.95,14466.5557,-411.1,-4.17
771.0,423.5,14493.4365,-411.1,-4.17
772.0,424.05,14520.1777,-407.3,-3.55
773.0,424.6,14546.5146,-413.6,-4.59
774.0,425.15,14573.5322,-411.2,-4.2
775.0,425.7,14601.2031,-418.6,-5.42
776.0,426.25,14630.5674,-415.7,-4.94
777.0,426.8,14659.8857,-411.3,-4.22
778.0,427.35,14687.8242,-416.2,-5.03
779.0,427.9,14715.834,-412.6,-4.44
780.0,428.45,14743.9121,-407.6,-3.62
781.0,429.0,14770.2705,-410.1,-4.04
782.0,429.55,14796.4482,-411.6,-4.29
783.0,430.1,14823.0586,-407.5,-3.62
784.0,430.65,14849.6504,-409.9,-4.02
785.0,431.2,14876.2168,-411.3,-4.25
786.0,431.75,14904.249,-419.0,-5.52
787.0,432.3,14933.3652,-399.4,-2.3
788.0,432.85,14958.7334,-413.0,-4.54
789.0,433.4,14984.2314,-416.4,-5.1
790.0,433.95,15013.6973,-416.3,-5.09
791.0,434.5,15042.25,-410.0,-4.05
792.0,435.05,15069.832,-410.7,-4.17
793.0,435.6,15097.373,-412.7,-4.5
794.0,436.15,15124.9482,-411.8,-4.36
795.0,436.7,15152.917,-414.2,-4.76
796.0,437.25,15181.5762,-416.6,-5.16
797.0,437.8,15211.252,-420.0,-5.72
798.0,438.35,15242.0713,-418.5,-5.47
799.0,438.9,15273.1592,-419.6,-5.66
800.0,439.45,15304.2441,-418.7,-5.51
801.0,440.0,15335.3877,-420.1,-5.74
802.0,440.55,15366.4971,-419.8,-5.7
803.0,441.1,15397.4355,-414.0,-4.75
804.0,441.65,15427.1318,-416.2,-5.11
805.0,442.2,15456.5674,-417.6,-5.35
806.0,442.75,15487.4111,-421.6,-6.01
807.0,443.3,15518.2646,-416.6,-5.19
808.0,443.85,15549.1982,-423.8,-6.37
809.0,444.4,15581.1982,-414.2,-4.8
810.0,444.95,15612.0059,-417.8,-5.39
811.0,445.5,15641.9473,-416.9,-5.25
812.0,446.05,15672.4775,-419.1,-5.61
813.0,446.6,15703.0625,-417.3,-5.32
814.0,447.15,15733.7461,-419.1,-5.62
815.0,447.7,15765.1611,-420.3,-5.82
816.0,448.25,15797.1064,-422.5,-6.18
817.0,448.8,15829.6992,-417.7,-5.39
818.0,449.35,15861.7119,-425.4,-6.66
819.0,449.9,15894.1484,-420.8,-5.91
820.0,450.45,15927.0967,-421.1,-5.96
821.0,451.0,15959.8936,-424.1,-6.46
822.0,451.55,15993.8545,-426.8,-6.9
823.0,452.1,16028.6016,-425.9,-6.76
824.0,452.65,16063.3047,-420.9,-5.94
825.0,453.2,16096.1738,-421.9,-6.1
826.0,453.75,16128.8203,-421.7,-6.07
