Depth (m),del18O,Age (yrs BP),temperature
146.85,-33.93,505.91,-30.19
147.4,-34.76,508.21,-31.43
147.95,-35.93,510.63,-33.18
148.5,-34.69,513.29,-31.33
149.05,-35.44,515.7,-32.45
149.6,-34.7,518.26,-31.34
150.15,-35.55,520.67,-32.61
150.7,-36.43,523.25,-33.93
151.25,-36.0,526.06,-33.28
151.8,-35.11,528.75,-31.96
152.35,-34.59,531.25,-31.18
152.9,-35.3,533.65,-32.24
153.45,-34.48,536.18,-31.01
154.0,-33.92,538.56,-30.18
154.55,-34.08,540.87,-30.42
155.1,-34.52,543.2,-31.07
155.65,-35.02,545.59,-31.82
156.2,-35.7,548.07,-32.84
156.75,-34.95,550.7,-31.72
157.3,-34.34,553.17,-30.81
157.85,-33.84,555.54,-30.06
158.4,-35.3,557.84,-32.24
158.95,-35.94,560.38,-33.19
159.5,-34.32,563.07,-30.78
160.05,-35.45,565.44,-32.46
160.6,-36.74,568.02,-34.39
161.15,-36.56,570.95,-34.12
161.7,-35.4,573.82,-32.39
162.25,-35.94,576.38,-33.19
162.8,-34.32,579.08,-30.78
163.35,-34.02,581.46,-30.33
163.9,-35.93,583.79,-33.18
164.45,-37.06,586.49,-34.87
165.0,-36.02,589.53,-33.31
165.55,-35.86,592.25,-33.07
166.1,-36.38,594.94,-33.85
166.65,-35.09,597.76,-31.93
167.2,-36.53,600.27,-34.07
167.75,-36.44,603.14,-33.94
168.3,-34.65,605.99,-31.27
168.85,-34.29,608.42,-30.73
169.4,-35.39,610.8,-32.37
169.95,-36.15,613.38,-33.51
170.5,-35.38,616.15,-32.36
171.05,-34.6,618.73,-31.19
171.6,-35.72,621.16,-32.87
172.15,-35.57,623.81,-32.64
172.7,-34.94,626.44,-31.7
173.25,-35.76,628.93,-32.93
173.8,-36.29,631.6,-33.72
174.35,-35.36,634.41,-32.33
174.9,-35.75,636.99,-32.91
175.45,-35.45,639.66,-32.46
176.0,-35.49,642.26,-32.52
176.55,-33.47,644.87,-29.51
177.1,-34.59,647.16,-31.18
177.65,-34.91,649.59,-31.66
178.2,-34.65,652.09,-31.27
178.75,-35.74,654.54,-32.9
179.3,-34.95,657.21,-31.72
179.85,-35.06,659.71,-31.88
180.4,-35.14,662.24,-32.0
180.95,-34.33,664.78,-30.79
181.5,-35.03,667.18,-31.84
182.05,-34.15,669.71,-30.52
182.6,-34.51,672.08,-31.06
183.15,-35.43,674.52,-32.43
183.7,-35.14,677.12,-32.0
184.25,-35.3,679.67,-32.24
184.8,-33.92,682.25,-30.18
185.35,-34.94,684.6,-31.7
185.9,-36.27,687.11,-33.69
186.45,-36.36,689.94,-33.82
187.0,-35.65,692.79,-32.76
187.55,-35.91,695.45,-33.15
188.1,-34.02,698.18,-30.33
188.65,-36.31,700.55,-33.75
189.2,-34.17,703.39,-30.55
189.75,-35.91,705.78,-33.15
190.3,-35.76,708.51,-32.93
190.85,-35.04,711.2,-31.85
191.4,-34.61,713.74,-31.21
191.95,-34.4,716.2,-30.9
192.5,-35.91,718.63,-33.15
193.05,-34.93,721.36,-31.69
193.6,-35.48,723.88,-32.51
194.15,-33.62,726.51,-29.73
194.7,-33.73,728.84,-29.9
195.25,-35.25,731.18,-32.16
195.8,-35.94,733.77,-33.19
196.35,-33.96,736.51,-30.24
196.9,-35.85,738.88,-33.06
197.45,-34.45,741.61,-30.97
198.0,-34.99,744.05,-31.78
198.55,-34.51,746.59,-31.06
199.1,-35.25,749.04,-32.16
199.65,-34.25,751.63,-30.67
200.2,-35.43,754.04,-32.43
200.75,-35.26,756.68,-32.18
201.3,-35.84,759.27,-33.04
201.85,-36.09,762.0,-33.42
202.4,-35.51,764.8,-32.55
202.95,-34.85,767.45,-31.57
203.5,-35.73,769.96,-32.88
204.05,-34.34,772.67,-30.81
204.6,-35.37,775.1,-32.34
205.15,-36.04,777.72,-33.34
205.7,-35.43,780.51,-32.43
206.25,-35.5,783.15,-32.54
206.8,-34.47,785.8,-31.0
207.35,-35.83,788.26,-33.03
207.9,-35.13,791.0,-31.99
208.45,-34.74,793.57,-31.4
209.0,-36.49,796.08,-34.01
209.55,-36.34,799.0,-33.79
210.1,-36.14,801.88,-33.49
210.65,-35.4,804.7,-32.39
211.2,-35.13,807.34,-31.99
211.75,-34.5,809.92,-31.04
212.3,-35.2,812.39,-32.09
212.85,-33.04,814.99,-28.87
213.4,-34.97,817.28,-31.75
213.95,-35.53,819.83,-32.58
214.5,-35.27,822.5,-32.19
215.05,-34.7,825.12,-31.34
215.6,-34.99,827.62,-31.78
216.15,-35.01,830.18,-31.81
216.7,-35.8,832.74,-32.99
217.25,-35.93,835.48,-33.18
217.8,-36.56,838.26,-34.12
218.35,-35.54,841.22,-32.6
218.9,-36.13,843.9,-33.48
219.45,-35.97,846.73,-33.24
220.0,-35.68,849.52,-32.81
220.55,-35.35,852.23,-32.31
221.1,-35.15,854.87,-32.01
221.65,-34.9,857.47,-31.64
222.2,-34.97,860.02,-31.75
222.75,-35.01,862.58,-31.81
223.3,-34.2,865.15,-30.6
223.85,-35.46,867.59,-32.48
224.4,-34.67,870.26,-31.3
224.95,-34.99,872.77,-31.78
225.5,-35.35,875.34,-32.31
226.05,-35.43,877.98,-32.43
226.6,-35.74,880.65,-32.9
227.15,-34.0,883.39,-30.3
227.7,-35.5,885.8,-32.54
228.25,-35.28,888.48,-32.21
228.8,-35.35,891.11,-32.31
229.35,-34.95,893.76,-31.72
229.9,-36.58,896.33,-34.15
230.45,-35.05,899.32,-31.87
231.0,-34.91,901.9,-31.66
231.55,-34.6,904.47,-31.19
232.1,-35.98,906.97,-33.25
232.65,-35.02,909.78,-31.82
233.2,-34.81,912.37,-31.51
233.75,-35.24,914.92,-32.15
234.3,-34.8,917.55,-31.49
234.85,-35.831,920.09,-33.03
235.4,-35.95,922.87,-33.21
235.95,-35.39,925.67,-32.37
236.5,-35.34,928.34,-32.3
237.05,-33.501,931.0,-29.55
237.6,-34.38,933.36,-30.87
238.15,-36.05,935.84,-33.36
238.7,-35.41,938.68,-32.4
239.25,-36.26,941.35,-33.67
239.8,-34.65,944.25,-31.27
240.35,-33.91,946.77,-30.16
240.9,-34.97,949.19,-31.75
241.45,-35.37,951.78,-32.34
242.0,-35.54,954.45,-32.6
242.55,-36.07,957.16,-33.39
243.1,-34.55,960.0,-31.12
243.65,-35.86,962.5,-33.07
244.2,-35.18,965.3,-32.06
244.75,-35.18,967.9,-32.06
245.3,-36.17,970.6,-33.54
245.85,-34.45,973.5,-30.97
246.4,-34.03,976.0,-30.34
246.95,-34.76,978.4,-31.43
247.5,-35.43,981.0,-32.43
248.05,-34.08,983.6,-30.42
248.6,-35.55,986.1,-32.61
249.15,-34.64,988.8,-31.25
249.7,-32.74,991.3,-28.42
250.25,-34.08,993.7,-30.42
250.8,-32.97,996.1,-28.76
251.35,-34.32,998.4,-30.78
251.9,-35.48,1000.9,-32.51
252.45,-34.48,1003.6,-31.01
253.0,-35.23,1006.1,-32.13
253.55,-34.88,1008.8,-31.61
254.1,-34.82,1011.4,-31.52
254.65,-35.46,1014.0,-32.48
255.2,-35.38,1016.7,-32.36
255.75,-36.02,1019.4,-33.31
256.3,-34.3,1022.2,-30.75
256.85,-35.09,1024.7,-31.93
257.4,-34.4,1027.3,-30.9
257.95,-34.74,1029.8,-31.4
258.5,-34.63,1032.4,-31.24
259.05,-35.09,1034.9,-31.93
259.6,-35.94,1037.6,-33.19
260.15,-35.59,1040.4,-32.67
260.7,-34.68,1043.2,-31.31
261.25,-33.5,1045.7,-29.55
261.8,-34.72,1048.1,-31.37
262.35,-34.05,1050.7,-30.37
262.9,-33.77,1053.1,-29.96
263.45,-35.16,1055.6,-32.03
264.0,-35.74,1058.2,-32.9
264.55,-35.6,1061.0,-32.69
265.1,-34.72,1063.8,-31.37
265.65,-35.62,1066.3,-32.72
266.2,-35.36,1069.1,-32.33
266.75,-35.86,1071.8,-33.07
267.3,-34.41,1074.6,-30.91
267.85,-35.54,1077.1,-32.6
268.4,-35.59,1079.9,-32.67
268.95,-35.53,1082.6,-32.58
269.5,-35.24,1085.4,-32.15
270.05,-35.5,1088.0,-32.54
270.6,-34.83,1090.8,-31.54
271.15,-35.57,1093.4,-32.64
271.7,-36.41,1096.1,-33.9
272.25,-35.47,1099.1,-32.49
272.8,-35.46,1101.9,-32.48
273.35,-35.01,1104.6,-31.81
273.9,-35.56,1107.2,-32.63
274.45,-35.18,1110.0,-32.06
275.0,-32.83,1112.7,-28.55
275.55,-33.26,1115.0,-29.19
276.1,-34.4,1117.4,-30.9
276.65,-35.57,1119.9,-32.64
277.2,-35.53,1122.7,-32.58
277.75,-35.41,1125.4,-32.4
